metric,value,unit,period,source
revenue,2.40,billion USD,FY2025,meridian_mdna.txt
revenue_growth,22,percent,FY2025,meridian_mdna.txt
gross_margin,58,percent,FY2025,meridian_mdna.txt
operating_margin,19,percent,FY2025,meridian_mdna.txt
net_income,312,million USD,FY2025,meridian_mdna.txt
eps,1.84,USD,FY2025,meridian_mdna.txt
free_cash_flow,280,million USD,FY2025,meridian_mdna.txt
cash_and_equivalents,540,million USD,FY2025,meridian_mdna.txt
total_debt,150,million USD,FY2025,meridian_mdna.txt
rd_expense,360,million USD,FY2025,meridian_mdna.txt
headcount,6800,employees,FY2025,meridian_10k_risk.txt
